"checkings","duration","credit_history","purpose","amount","savings","employment_duration","installment_rate","personal_status_sex","other_debtors","present_residence","property","age","other_installment_plans","housing","number_credits","job","people_liable","telephone","foreign_worker","credit_risk"
"1",18,"4","car_used",1049,"1","2","4","2","1","4","2",21,"3","1","1","3","2","1","2",0
"1",9,"4","other",2799,"1","3","2","3","1","2","1",36,"3","1","2_to_3","3","1","1","2",0
"1",12,"4","other",2122,"1","3","3","3","1","2","1",39,"3","1","2_to_3","2","1","1","1",0
"1",12,"4","other",2171,"1","3","4","3","1","4","2",38,"1","2","2_to_3","2","2","1","1",0
"1",10,"4","other",2241,"1","2","1","3","1","3","1",48,"3","1","2_to_3","2","1","1","1",0
"1",6,"4","other",1361,"1","2","2","3","1","4","1",40,"3","2","1","2","1","1","1",0
"4",18,"4","furniture_equipment",1098,"1","1","4","2","1","4","3",65,"3","2","2_to_3","1","2","1","2",0
"1",11,"4","other",3905,"1","3","2","3","1","2","1",36,"3","1","2_to_3","3","1","1","2",0
"1",30,"4","car_new",6187,"2","4","1","4","1","4","3",24,"3","1","2_to_3","3","2","1","2",0
"1",6,"2","furniture_equipment",2647,"3","3","2","3","1","3","1",44,"3","1","1","3","1","1","2",0
"1",11,"4","other",3939,"1","3","1","3","1","2","1",40,"3","2","2_to_3","2","1","1","2",0
"2",36,"4","furniture_equipment",2337,"1","5","4","3","1","4","1",36,"3","2","1","3","2","1","2",0
"4",11,"4","other",7228,"1","3","1","3","1","4","2",39,"3","2","2_to_3","2","2","1","2",0
"1",6,"4","other",3676,"1","3","1","3","1","3","1",37,"3","1","4_or_more","3","1","1","2",0
"2",12,"4","other",3124,"1","2","1","3","1","3","1",49,"1","2","2_to_3","2","1","1","2",0
"2",11,"3","furniture_equipment",4771,"1","4","2","3","1","4","2",51,"3","2","1","3","2","1","2",0
"1",12,"2","car_used",652,"1","5","4","2","1","4","2",24,"3","1","1","3","2","1","2",0
"2",9,"4","furniture_equipment",1154,"1","5","2","3","1","4","1",37,"3","2","4_or_more","2","2","1","2",0
"4",15,"2","other",3556,"5","3","3","3","1","2","4",29,"3","2","1","3","2","1","2",0
"3",42,"4","car_new",4796,"1","5","4","3","1","4","4",56,"3","3","1","3","2","1","2",0
"4",36,"4","other",3535,"1","4","4","3","1","4","3",37,"3","2","2_to_3","3","2","2","2",0
"4",36,"4","other",6614,"1","5","4","3","1","4","3",34,"3","2","2_to_3","4","2","2","2",0
"4",24,"2","furniture_equipment",1376,"3","4","4","2","1","1","3",28,"3","2","1","3","2","1","2",0
"1",15,"2","other",1721,"1","2","2","3","1","3","1",36,"3","2","1","3","2","1","2",0
"1",6,"4","other",860,"1","5","1","2","1","4","4",39,"3","2","2_to_3","3","2","2","2",0
"1",24,"2","business",1755,"1","5","4","2","3","4","1",58,"3","2","1","2","2","2","2",0
"4",18,"4","other",1028,"1","3","4","2","1","3","1",36,"3","2","2_to_3","3","2","1","2",0
"2",18,"2","repairs",1239,"5","3","4","3","1","4","4",61,"3","3","1","3","2","1","2",0
"1",18,"2","other",1216,"1","2","4","2","1","3","3",23,"3","1","1","3","2","2","2",1
"4",18,"4","repairs",1864,"2","3","4","2","1","2","1",30,"3","2","2_to_3","3","2","1","2",1
"4",24,"2","other",1474,"2","2","4","4","1","3","1",33,"3","2","1","3","2","2","2",0
"1",24,"4","travel",1382,"2","4","4","3","1","1","1",26,"3","2","2_to_3","3","2","2","2",0
"4",12,"2","other",640,"1","3","4","1","1","2","1",49,"3","2","1","2","2","1","2",0
"4",9,"4","other",1224,"1","3","3","3","1","1","1",30,"3","2","2_to_3","3","2","1","2",0
"4",24,"2","car_new",6313,"5","5","3","3","1","4","3",41,"3","2","1","4","1","2","2",0
"1",12,"4","furniture_equipment",385,"1","4","4","2","1","3","1",58,"3","2","4_or_more","2","2","2","2",0
"4",12,"4","furniture_equipment",1655,"1","5","2","3","1","4","1",63,"3","2","2_to_3","2","2","2","2",0
"1",15,"2","furniture_equipment",1053,"1","2","4","4","1","2","1",27,"3","2","1","3","2","1","1",0
"4",21,"2","furniture_equipment",3160,"5","5","4","3","1","3","2",41,"3","2","1","3","2","2","2",0
"4",12,"4","other",1163,"3","3","4","3","1","4","1",44,"3","2","1","3","2","2","2",0
"4",24,"2","car_new",2679,"1","2","4","2","1","1","4",29,"3","2","1","4","2","2","2",0
"4",48,"4","furniture_equipment",3578,"5","5","4","3","1","1","1",47,"3","2","1","3","2","2","2",0
"1",12,"3","other",1344,"1","3","4","3","1","2","1",43,"3","2","2_to_3","2","1","1","2",0
"4",6,"4","furniture_equipment",1237,"2","3","1","2","1","1","2",27,"3","2","2_to_3","3","2","1","2",0
"4",12,"2","furniture_equipment",3077,"1","3","2","3","1","4","3",52,"3","2","1","3","2","2","2",0
"4",24,"2","furniture_equipment",2284,"1","4","4","3","1","2","3",28,"3","2","1","3","2","2","2",0
"2",12,"2","furniture_equipment",1567,"1","3","1","2","1","1","3",22,"3","2","1","3","2","2","2",0
"4",24,"3","other",2032,"1","5","4","3","1","4","4",60,"3","3","2_to_3","3","2","2","2",0
"4",36,"2","furniture_equipment",2299,"3","5","4","3","1","4","3",39,"3","2","1","3","2","1","2",0
"2",9,"2","car_used",2030,"5","4","2","3","1","1","3",24,"3","2","1","3","2","2","2",0
"1",21,"4","other",1602,"1","5","4","4","1","3","3",30,"3","2","2_to_3","3","2","2","2",0
"4",15,"2","furniture_equipment",1979,"5","5","4","3","1","2","3",35,"3","2","1","3","2","1","2",0
"4",24,"4","other",2022,"1","3","4","2","1","4","3",37,"3","2","1","3","2","2","2",0
"4",36,"4","furniture_equipment",3342,"5","5","4","3","1","2","3",51,"3","2","1","3","2","2","2",0
"2",18,"2","other",5866,"2","3","2","3","1","2","3",30,"3","2","2_to_3","3","2","2","2",0
"4",36,"3","furniture_equipment",4454,"1","3","4","2","1","4","1",34,"3","2","2_to_3","3","2","1","2",0
"2",12,"4","other",1995,"2","2","4","3","1","1","3",27,"3","2","1","3","2","1","2",0
"2",30,"2","furniture_equipment",2991,"5","5","2","2","1","4","3",25,"3","2","1","3","2","1","2",0
"2",30,"0","travel",4221,"1","3","2","2","1","1","3",28,"3","2","2_to_3","3","2","1","2",0
"2",18,"4","car_used",6361,"1","5","2","3","1","1","4",41,"3","2","1","3","2","2","2",0
"2",12,"4","furniture_equipment",3573,"1","3","1","2","1","1","1",23,"3","2","1","2","2","1","2",0
"2",36,"3","travel",4455,"1","3","2","1","1","2","1",30,"2","2","2_to_3","4","2","2","2",1
"1",9,"2","car_used",2136,"1","3","3","3","1","2","1",25,"3","2","1","3","2","1","2",0
"2",42,"4","travel",5954,"1","4","2","2","1","1","1",41,"1","2","2_to_3","2","2","1","2",0
"4",24,"4","car_used",3777,"4","3","4","3","1","4","1",40,"3","2","1","3","2","2","2",0
"1",15,"2","travel",806,"1","3","4","2","1","4","2",22,"3","2","1","2","2","1","2",0
"2",24,"3","travel",4712,"5","3","4","3","1","2","2",34,"1","2","2_to_3","4","2","2","2",0
"2",36,"3","other",7432,"1","3","2","2","1","2","2",54,"3","1","1","3","2","1","2",0
"4",24,"4","furniture_equipment",1851,"1","4","4","4","3","2","3",33,"3","2","2_to_3","3","2","2","2",0
"4",24,"2","other",1393,"1","3","2","3","3","2","1",31,"3","2","1","3","2","2","2",0
"4",12,"4","travel",1412,"1","3","4","2","3","2","1",29,"3","2","2_to_3","4","2","2","2",0
"4",24,"2","furniture_equipment",1533,"1","2","4","2","1","3","3",38,"2","2","1","3","2","2","2",0
"4",12,"4","repairs",2012,"5","4","4","2","1","2","3",61,"3","2","1","3","2","1","2",0
"1",15,"2","other",3959,"1","3","3","2","1","2","2",29,"3","2","1","3","2","2","2",1
"1",6,"2","car_used",428,"1","5","2","2","1","1","2",49,"1","2","1","3","2","2","2",0
"2",12,"4","other",2366,"3","4","3","1","1","3","3",36,"3","2","1","4","2","2","2",0
"4",12,"2","car_used",763,"1","3","4","2","1","1","1",26,"3","2","1","3","2","2","2",0
"2",18,"2","other",6260,"1","4","3","3","1","3","1",28,"3","1","1","2","2","1","2",0
"2",9,"4","car_used",1919,"1","4","4","3","1","3","3",35,"3","1","1","3","2","2","2",0
"4",24,"2","car_new",2603,"4","3","2","2","1","4","3",28,"3","1","1","3","2","2","2",0
"4",24,"2","car_used",3062,"3","5","4","3","1","3","4",32,"3","1","1","3","2","2","2",0
"2",36,"2","furniture_equipment",4795,"1","2","4","2","1","1","4",30,"3","2","1","4","2","2","2",0
"4",36,"4","car_new",5842,"1","5","2","3","1","2","2",35,"3","2","2_to_3","3","1","2","2",0
"2",6,"2","furniture_equipment",2063,"1","2","4","4","1","3","3",30,"3","1","1","4","2","2","2",0
"4",15,"2","furniture_equipment",1213,"3","5","4","3","1","3","2",47,"2","2","1","3","2","2","2",0
"4",15,"2","electronics_appliances",874,"5","2","4","2","1","1","1",24,"3","2","1","3","2","1","2",0
"4",6,"2","car_used",2978,"3","3","1","3","1","2","3",32,"3","2","1","3","2","2","2",0
"3",6,"2","car_used",2116,"1","3","2","3","1","2","1",41,"3","2","1","3","2","2","2",0
"4",10,"2","other",1364,"1","3","2","2","1","4","3",64,"3","2","1","3","2","2","2",0
"4",6,"2","car_used",1543,"4","3","4","1","1","2","1",33,"3","2","1","3","2","1","2",0
"2",12,"2","other",1318,"4","5","4","3","1","4","1",54,"3","2","1","3","2","2","2",0
"1",24,"1","other",2325,"2","4","2","3","1","3","3",32,"1","2","1","3","2","1","2",0
"2",6,"4","travel",932,"5","4","1","2","1","3","2",39,"3","2","2_to_3","2","2","1","2",0
"3",24,"4","furniture_equipment",3148,"5","3","3","3","1","2","3",31,"3","2","2_to_3","3","2","2","2",0
"4",9,"2","repairs",3832,"5","5","1","3","1","4","1",64,"3","2","1","2","2","1","2",0
"4",9,"4","car_used",2406,"1","1","2","3","1","3","3",31,"3","2","1","4","2","1","2",0
"4",36,"2","furniture_equipment",2394,"5","3","4","2","1","4","3",25,"3","2","1","3","2","1","2",0
"4",21,"2","car_new",2476,"5","5","4","3","1","4","1",46,"3","2","1","4","2","2","2",0
"1",24,"2","car_new",2964,"5","5","4","3","1","4","4",49,"1","3","1","3","1","2","2",0
"1",12,"2","car_used",1262,"5","5","2","1","1","4","2",49,"3","2","1","2","2","2","2",0
"4",12,"2","travel",1542,"1","4","2","3","1","4","3",36,"3","2","1","3","2","2","2",0
"2",24,"4","furniture_equipment",1743,"1","5","4","3","1","2","2",48,"3","2","2_to_3","2","2","1","2",0
"3",12,"1","furniture_equipment",409,"4","3","3","2","1","3","1",42,"3","1","2_to_3","3","2","1","2",0
"4",12,"2","furniture_equipment",2171,"1","2","2","2","1","2","3",29,"1","2","1","3","2","1","2",0
"4",48,"4","car_new",8858,"5","4","2","3","1","1","4",35,"3","3","2_to_3","3","2","2","2",0
"2",24,"2","other",3512,"2","4","2","3","1","3","3",38,"1","2","2_to_3","3","2","2","2",0
"2",12,"2","furniture_equipment",1158,"3","3","3","1","1","1","3",26,"3","2","1","3","2","2","2",0
"4",24,"4","furniture_equipment",2684,"1","3","4","3","1","2","1",35,"3","2","2_to_3","2","2","1","2",0
"1",12,"2","furniture_equipment",1498,"1","3","4","2","1","1","3",23,"1","2","1","3","2","1","2",0
"4",30,"4","furniture_equipment",5954,"1","4","3","3","2","2","3",38,"3","2","1","3","2","1","2",0
"2",48,"1","travel",6416,"1","5","4","2","1","3","4",59,"3","1","1","3","2","1","2",1
"2",12,"4","car_used",3617,"1","5","1","3","1","4","3",28,"3","1","4_or_more","3","2","2","2",0
"4",12,"4","furniture_equipment",1291,"1","3","4","2","1","2","2",35,"3","2","2_to_3","3","2","1","2",0
"3",24,"4","travel",1275,"4","3","2","1","1","4","1",36,"3","2","2_to_3","3","2","2","2",0
"3",15,"2","repairs",392,"1","2","4","2","1","4","2",23,"3","1","1","3","2","2","2",0
"4",9,"4","other",2134,"1","3","4","3","1","4","3",48,"3","2","4_or_more","3","2","2","2",0
"4",30,"4","furniture_equipment",5771,"1","4","4","2","1","2","3",25,"3","2","2_to_3","3","2","1","2",0
"4",24,"4","travel",4526,"1","3","3","3","1","2","1",74,"3","2","1","4","2","2","2",0
"4",15,"4","car_used",2788,"1","4","2","2","2","3","3",24,"1","2","2_to_3","3","2","1","2",0
"3",36,"2","furniture_equipment",5848,"1","3","4","3","1","1","3",24,"3","2","1","3","2","1","2",0
"3",12,"2","furniture_equipment",1297,"1","3","3","4","1","4","1",23,"3","1","1","3","2","1","2",0
"4",12,"2","furniture_equipment",1963,"1","4","4","3","1","2","3",31,"3","1","2_to_3","4","1","2","2",0
"2",12,"4","car_new",1804,"2","2","3","3","1","4","2",44,"3","2","1","3","2","1","2",0
"4",18,"2","travel",1950,"1","4","4","3","1","1","3",34,"2","2","2_to_3","3","2","2","2",0
"4",48,"3","furniture_equipment",12749,"3","4","4","3","1","1","3",37,"3","2","1","4","2","2","2",0
"4",18,"4","other",1055,"1","2","4","2","1","1","2",30,"3","2","2_to_3","3","2","1","2",0
"4",30,"4","furniture_equipment",2831,"1","3","4","2","1","2","3",33,"3","2","1","3","2","2","2",0
"4",9,"2","travel",1449,"1","4","3","2","1","2","3",27,"3","2","2_to_3","3","2","1","2",0
"4",36,"2","travel",5742,"2","4","2","3","1","2","3",31,"3","2","2_to_3","3","2","2","2",0
"4",12,"2","other",2390,"5","5","4","3","1","3","3",50,"3","2","1","3","2","2","2",0
"4",24,"2","furniture_equipment",3430,"3","5","3","3","1","2","3",31,"3","2","1","3","1","2","2",0
"2",36,"2","repairs",2273,"1","4","3","3","1","1","3",32,"3","2","2_to_3","3","1","1","2",0
"3",21,"2","other",2923,"2","3","1","2","1","1","3",28,"1","2","1","4","2","2","2",0
"2",36,"2","repairs",3711,"5","3","2","4","1","2","3",27,"3","2","1","3","2","1","2",0
"2",48,"2","other",8487,"5","4","1","2","1","2","3",24,"3","2","1","3","2","1","2",0
