"checkings","credit_history","amount","duration","savings","property","purpose","other_installment_plans","employment_duration","foreign_worker","housing","personal_status_sex","other_debtors","credit_risk"
"1","4",2799,9,"1","1","other","3","3","2","1","3","1","0"
"1","4",2122,12,"1","1","other","3","3","1","1","3","1","0"
"1","4",2171,12,"1","2","other","1","3","1","2","3","1","0"
"1","4",1361,6,"1","1","other","3","2","1","2","3","1","0"
"4","4",1098,18,"1","3","furniture_equipment","3","1","2","2","2","1","0"
"1","4",3905,11,"1","1","other","3","3","2","1","3","1","0"
"1","4",6187,30,"2","3","car_new","3","4","2","1","4","1","0"
"1","2",2647,6,"3","1","furniture_equipment","3","3","2","1","3","1","0"
"1","4",3939,11,"1","1","other","3","3","2","2","3","1","0"
"2","4",2337,36,"1","1","furniture_equipment","3","5","2","2","3","1","0"
"4","4",7228,11,"1","2","other","3","3","2","2","3","1","0"
"1","4",3676,6,"1","1","other","3","3","2","1","3","1","0"
"2","4",3124,12,"1","1","other","1","2","2","2","3","1","0"
"2","3",4771,11,"1","2","furniture_equipment","3","4","2","2","3","1","0"
"1","2",652,12,"1","2","car_used","3","5","2","1","2","1","0"
"2","4",1154,9,"1","1","furniture_equipment","3","5","2","2","3","1","0"
"4","2",3556,15,"5","4","other","3","3","2","2","3","1","0"
"3","4",4796,42,"1","4","car_new","3","5","2","3","3","1","0"
"4","4",3535,36,"1","3","other","3","4","2","2","3","1","0"
"4","4",6614,36,"1","3","other","3","5","2","2","3","1","0"
"1","4",860,6,"1","4","other","3","5","2","2","2","1","0"
"1","2",1755,24,"1","1","business","3","5","2","2","2","3","0"
"4","4",1028,18,"1","1","other","3","3","2","2","2","1","0"
"2","2",1239,18,"5","4","repairs","3","3","2","3","3","1","0"
"1","2",1216,18,"1","3","other","3","2","2","1","2","1","1"
"4","4",1864,18,"2","1","repairs","3","3","2","2","2","1","1"
"4","2",640,12,"1","1","other","3","3","2","2","1","1","0"
"4","4",1224,9,"1","1","other","3","3","2","2","3","1","0"
"4","2",6313,24,"5","3","car_new","3","5","2","2","3","1","0"
"1","4",385,12,"1","1","furniture_equipment","3","4","2","2","2","1","0"
"4","4",1655,12,"1","1","furniture_equipment","3","5","2","2","3","1","0"
"1","2",1053,15,"1","1","furniture_equipment","3","2","1","2","4","1","0"
"4","2",3160,21,"5","2","furniture_equipment","3","5","2","2","3","1","0"
"4","4",1163,12,"3","1","other","3","3","2","2","3","1","0"
"4","2",2679,24,"1","4","car_new","3","2","2","2","2","1","0"
"4","4",3578,48,"5","1","furniture_equipment","3","5","2","2","3","1","0"
"1","3",1344,12,"1","1","other","3","3","2","2","3","1","0"
"4","4",1237,6,"2","2","furniture_equipment","3","3","2","2","2","1","0"
"4","2",3077,12,"1","3","furniture_equipment","3","3","2","2","3","1","0"
"4","2",2284,24,"1","3","furniture_equipment","3","4","2","2","3","1","0"
"4","3",2032,24,"1","4","other","3","5","2","3","3","1","0"
"4","2",2299,36,"3","3","furniture_equipment","3","5","2","2","3","1","0"
"1","4",1602,21,"1","3","other","3","5","2","2","4","1","0"
"4","2",1979,15,"5","3","furniture_equipment","3","5","2","2","3","1","0"
"4","4",3342,36,"5","3","furniture_equipment","3","5","2","2","3","1","0"
"2","2",5866,18,"2","3","other","3","3","2","2","3","1","0"
"4","3",4454,36,"1","1","furniture_equipment","3","3","2","2","2","1","0"
"2","4",1995,12,"2","3","other","3","2","2","2","3","1","0"
"2","2",2991,30,"5","3","furniture_equipment","3","5","2","2","2","1","0"
"2","0",4221,30,"1","3","travel","3","3","2","2","2","1","0"
"2","4",6361,18,"1","4","car_used","3","5","2","2","3","1","0"
"2","4",3573,12,"1","1","furniture_equipment","3","3","2","2","2","1","0"
"2","3",4455,36,"1","1","travel","2","3","2","2","1","1","1"
"1","2",2136,9,"1","1","car_used","3","3","2","2","3","1","0"
"2","4",5954,42,"1","1","travel","1","4","2","2","2","1","0"
"4","4",3777,24,"4","1","car_used","3","3","2","2","3","1","0"
"1","2",806,15,"1","2","travel","3","3","2","2","2","1","0"
"2","3",4712,24,"5","2","travel","1","3","2","2","3","1","0"
"2","3",7432,36,"1","2","other","3","3","2","1","2","1","0"
"4","4",1851,24,"1","3","furniture_equipment","3","4","2","2","4","3","0"
"4","2",1393,24,"1","1","other","3","3","2","2","3","3","0"
"4","2",1533,24,"1","3","furniture_equipment","2","2","2","2","2","1","0"
"4","4",2012,12,"5","3","repairs","3","4","2","2","2","1","0"
"1","2",3959,15,"1","2","other","3","3","2","2","2","1","1"
"1","2",428,6,"1","2","car_used","1","5","2","2","2","1","0"
"2","4",2366,12,"3","3","other","3","4","2","2","1","1","0"
"2","2",6260,18,"1","1","other","3","4","2","1","3","1","0"
"4","2",2603,24,"4","3","car_new","3","3","2","1","2","1","0"
"4","2",3062,24,"3","4","car_used","3","5","2","1","3","1","0"
"2","2",4795,36,"1","4","furniture_equipment","3","2","2","2","2","1","0"
"4","4",5842,36,"1","2","car_new","3","5","2","2","3","1","0"
"2","2",2063,6,"1","3","furniture_equipment","3","2","2","1","4","1","0"
"4","2",1213,15,"3","2","furniture_equipment","2","5","2","2","3","1","0"
"4","2",874,15,"5","1","electronics_appliances","3","2","2","2","2","1","0"
"3","2",2116,6,"1","1","car_used","3","3","2","2","3","1","0"
"4","2",1543,6,"4","1","car_used","3","3","2","2","1","1","0"
"2","2",1318,12,"4","1","other","3","5","2","2","3","1","0"
"1","1",2325,24,"2","3","other","1","4","2","2","3","1","0"
"2","4",932,6,"5","2","travel","3","4","2","2","2","1","0"
"3","4",3148,24,"5","3","furniture_equipment","3","3","2","2","3","1","0"
"4","2",3832,9,"5","1","repairs","3","5","2","2","3","1","0"
"4","4",2406,9,"1","3","car_used","3","1","2","2","3","1","0"
"4","2",2394,36,"5","3","furniture_equipment","3","3","2","2","2","1","0"
"4","2",2476,21,"5","1","car_new","3","5","2","2","3","1","0"
"1","2",2964,24,"5","4","car_new","1","5","2","3","3","1","0"
"4","2",1542,12,"1","3","travel","3","4","2","2","3","1","0"
"2","4",1743,24,"1","2","furniture_equipment","3","5","2","2","3","1","0"
"3","1",409,12,"4","1","furniture_equipment","3","3","2","1","2","1","0"
"4","2",2171,12,"1","3","furniture_equipment","1","2","2","2","2","1","0"
"4","4",8858,48,"5","4","car_new","3","4","2","3","3","1","0"
"2","2",1158,12,"3","3","furniture_equipment","3","3","2","2","1","1","0"
"4","4",2684,24,"1","1","furniture_equipment","3","3","2","2","3","1","0"
"4","4",5954,30,"1","3","furniture_equipment","3","4","2","2","3","2","0"
"2","1",6416,48,"1","4","travel","3","5","2","1","2","1","1"
"2","4",3617,12,"1","3","car_used","3","5","2","1","3","1","0"
"4","4",1291,12,"1","2","furniture_equipment","3","3","2","2","2","1","0"
"3","4",1275,24,"4","1","travel","3","3","2","2","1","1","0"
"3","2",392,15,"1","2","repairs","3","2","2","1","2","1","0"
"4","4",2134,9,"1","3","other","3","3","2","2","3","1","0"
"4","4",5771,30,"1","3","furniture_equipment","3","4","2","2","2","1","0"
"4","4",4526,24,"1","1","travel","3","3","2","2","3","1","0"
"4","4",2788,15,"1","3","car_used","1","4","2","2","2","2","0"
"3","2",5848,36,"1","3","furniture_equipment","3","3","2","2","3","1","0"
"3","2",1297,12,"1","1","furniture_equipment","3","3","2","1","4","1","0"
"4","2",1963,12,"1","3","furniture_equipment","3","4","2","1","3","1","0"
"2","4",1804,12,"2","2","car_new","3","2","2","2","3","1","0"
"4","3",12749,48,"3","3","furniture_equipment","3","4","2","2","3","1","0"
"4","4",1055,18,"1","2","other","3","2","2","2","2","1","0"
"4","4",2831,30,"1","3","furniture_equipment","3","3","2","2","2","1","0"
"4","2",1449,9,"1","3","travel","3","4","2","2","2","1","0"
"4","2",2390,12,"5","3","other","3","5","2","2","3","1","0"
"4","2",3430,24,"3","3","furniture_equipment","3","5","2","2","3","1","0"
"3","2",2923,21,"2","3","other","1","3","2","2","2","1","0"
"2","2",3711,36,"5","3","repairs","3","3","2","2","4","1","0"
"2","2",8487,48,"5","3","other","3","4","2","2","2","1","0"
"4","2",2255,24,"5","2","other","3","2","2","2","3","1","0"
"4","4",1817,18,"1","4","car_used","3","3","2","2","2","1","0"
"4","2",2141,12,"2","4","furniture_equipment","3","4","2","2","3","1","0"
"4","1",3609,48,"1","1","travel","2","3","2","2","2","1","0"
"4","2",2333,30,"3","3","furniture_equipment","1","5","2","2","3","1","0"
"4","1",7824,28,"5","1","car_new","1","2","2","1","3","3","0"
"1","2",7721,24,"5","2","car_used","3","2","1","2","2","1","0"
"1","2",3763,21,"5","1","other","3","4","1","2","3","2","0"
"1","2",1107,12,"1","1","furniture_equipment","3","3","2","1","3","1","0"
"2","2",1444,15,"5","2","furniture_equipment","3","2","2","2","3","1","0"
"2","1",12169,48,"5","4","other","3","1","2","3","3","2","0"
"3","2",1494,4,"5","1","other","3","2","1","2","3","1","0"
"3","4",1299,6,"1","1","other","3","3","1","2","3","1","0"
"2","2",1549,9,"5","1","other","3","2","2","2","3","1","0"
"3","2",3949,10,"1","2","other","3","2","2","2","3","3","0"
"1","2",10722,47,"1","1","other","3","2","2","2","2","1","0"
"1","1",1940,18,"1","4","furniture_equipment","1","2","2","3","3","2","0"
"3","4",3656,30,"5","2","furniture_equipment","2","5","2","2","3","1","0"
"4","3",4679,24,"1","3","car_new","3","4","2","2","3","1","0"
"1","2",2659,18,"4","3","car_used","3","3","2","2","3","1","0"
"4","4",1516,24,"4","1","furniture_equipment","3","3","2","2","2","1","0"
"1","2",4380,18,"2","3","other","3","3","2","2","3","1","0"
"4","3",802,14,"1","3","other","3","3","2","2","3","1","0"
"2","1",3566,48,"2","3","travel","3","4","2","2","3","1","0"
"4","2",1278,24,"1","1","furniture_equipment","3","5","2","2","3","1","0"
"4","2",8588,39,"2","3","car_new","3","5","2","2","3","1","0"
"1","2",3857,30,"1","2","car_new","3","3","2","2","1","1","0"
"1","2",1603,24,"1","3","furniture_equipment","3","5","2","2","2","1","0"
"4","2",601,4,"1","1","car_used","3","2","2","1","2","1","0"
"4","4",1316,15,"3","2","furniture_equipment","3","3","2","2","4","1","0"
"4","2",10366,60,"1","2","other","3","5","2","2","3","1","0"
"4","2",1568,18,"2","2","travel","3","3","2","1","2","1","0"
"2","2",2631,15,"2","1","electronics_appliances","3","3","2","2","2","1","0"
"4","2",5248,21,"5","3","car_new","3","3","2","2","3","1","0"
"2","3",2899,18,"5","3","other","3","5","2","2","3","1","0"
"1","3",3643,15,"1","2","car_used","3","5","2","2","2","1","0"
"1","2",2315,10,"1","1","furniture_equipment","3","5","2","2","3","1","0"
"3","2",1275,10,"1","2","car_used","3","2","2","2","2","1","0"
"4","2",1493,12,"1","3","furniture_equipment","3","2","2","2","2","1","0"
"4","2",2675,22,"3","3","furniture_equipment","3","5","2","2","3","1","0"
"4","4",1258,12,"1","2","car_used","3","2","2","1","2","1","0"
"4","1",1569,15,"2","3","furniture_equipment","1","5","2","2","3","1","0"
"4","2",1236,6,"3","2","car_new","3","3","2","1","3","1","0"
"4","3",7678,36,"3","3","car_used","3","4","2","2","2","1","0"
"4","2",660,6,"3","1","electronics_appliances","3","4","2","1","4","1","0"
"4","2",2835,24,"3","2","car_used","3","5","2","2","3","1","0"
"2","4",3652,21,"1","2","travel","3","4","2","2","3","1","0"
"3","2",1126,9,"2","1","furniture_equipment","3","5","2","2","1","1","0"
"3","3",683,6,"1","2","furniture_equipment","1","2","2","2","2","1","0"
"1","2",3357,21,"4","3","furniture_equipment","1","2","2","2","2","1","0"
"4","2",2697,9,"1","1","furniture_equipment","3","3","2","2","3","1","0"
"4","2",2507,9,"3","4","other","3","5","2","3","3","1","0"
"4","3",1478,15,"1","1","furniture_equipment","1","3","2","2","4","1","0"
"4","4",3565,12,"5","2","repairs","3","2","2","2","3","1","0"
"4","4",1898,6,"5","1","furniture_equipment","3","3","2","2","3","1","0"
"2","3",1449,6,"2","3","travel","1","5","2","2","1","1","0"
"4","2",2301,9,"2","2","car_used","3","2","2","1","2","1","0"
"4","3",1743,6,"2","1","travel","3","3","2","2","3","1","0"
"2","2",983,12,"4","1","car_used","3","2","2","1","2","1","0"
"3","2",3749,24,"1","3","car_used","3","2","2","2","2","1","0"
"4","2",1469,24,"2","1","other","3","5","2","1","4","1","0"
"1","2",1374,6,"1","1","car_used","1","3","2","2","3","1","0"
"4","1",783,6,"5","1","other","2","3","2","2","3","3","0"
"1","2",2606,21,"1","2","furniture_equipment","3","2","2","1","2","1","0"
"4","0",9436,54,"5","2","car_new","3","3","2","2","3","1","0"
"4","4",2751,48,"5","3","car_new","3","5","2","2","3","1","0"
"2","2",1201,24,"1","2","other","3","2","2","2","3","1","0"
"4","2",1300,15,"5","4","car_new","1","5","2","3","3","1","0"
"4","1",1559,24,"1","3","travel","1","4","2","2","3","1","0"
"4","4",1360,15,"1","2","furniture_equipment","3","3","2","2","3","1","0"
"4","0",1204,6,"2","4","other","1","3","1","1","3","1","0"
"4","2",1597,10,"3","4","other","3","3","1","1","3","1","0"
"4","2",2142,11,"4","1","travel","3","5","2","2","1","1","0"
"1","4",2132,10,"5","1","car_used","3","2","1","1","2","2","0"
"4","4",1287,24,"4","1","other","3","5","2","2","2","1","0"
"4","2",1418,10,"2","1","other","3","3","1","1","3","1","0"
"4","4",1927,24,"5","3","repairs","3","3","2","2","2","1","0"
"4","2",1283,22,"5","2","other","3","4","2","1","2","1","0"
"4","3",717,24,"5","3","other","3","5","2","2","4","1","0"
"1","2",1747,24,"1","2","car_used","3","2","1","2","3","2","0"
"1","4",1038,10,"1","2","other","3","4","2","2","3","2","0"
"4","2",1413,12,"4","2","car_new","3","4","1","2","3","1","0"
